<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.07	06:45:00	2643.611	2643.855	2639.873	2640.246	1393	0	159
2025.01.07	07:00:00	2640.242	2642.203	2639.931	2640.035	1335	0	160
2025.01.07	07:15:00	2639.967	2641.221	2639.510	2640.763	1100	0	159
2025.01.07	07:30:00	2640.724	2641.375	2638.687	2639.080	1477	0	160
2025.01.07	07:45:00	2639.122	2640.607	2638.026	2640.487	1274	0	159
2025.01.07	08:00:00	2640.444	2643.745	2640.050	2642.801	1955	0	159
2025.01.07	08:15:00	2642.875	2644.673	2642.631	2643.984	1404	0	159
2025.01.07	08:30:00	2643.956	2644.838	2643.066	2643.136	1213	0	159
2025.01.07	08:45:00	2643.141	2643.756	2640.496	2642.652	1235	0	159
2025.01.07	09:00:00	2642.597	2643.059	2640.140	2640.411	1505	0	159
2025.01.07	09:15:00	2640.375	2644.180	2640.271	2644.044	1236	0	160
2025.01.07	09:30:00	2644.051	2644.051	2641.097	2641.407	1214	0	159
2025.01.07	09:45:00	2641.348	2642.490	2640.517	2641.329	1138	0	159
2025.01.07	10:00:00	2641.375	2643.885	2641.324	2643.037	1283	0	160
2025.01.07	10:15:00	2643.014	2643.649	2642.196	2642.658	1115	0	160
2025.01.07	10:30:00	2642.627	2644.747	2642.627	2643.893	1412	0	160
2025.01.07	10:45:00	2643.862	2644.105	2642.848	2643.838	954	0	160
2025.01.07	11:00:00	2643.873	2646.980	2643.727	2644.887	1370	0	159
2025.01.07	11:15:00	2644.879	2645.536	2642.014	2645.536	1402	0	159
2025.01.07	11:30:00	2645.508	2646.786	2644.616	2646.624	1157	0	160
2025.01.07	11:45:00	2646.615	2648.689	2646.413	2648.348	1314	0	159
2025.01.07	12:00:00	2648.393	2651.391	2647.450	2648.264	2193	0	159
2025.01.07	12:15:00	2648.230	2649.227	2647.358	2648.187	1334	0	159
2025.01.07	12:30:00	2648.155	2652.012	2647.585	2649.616	1877	0	159
2025.01.07	12:45:00	2649.684	2652.752	2648.985	2651.603	1803	0	160
2025.01.07	13:00:00	2651.642	2655.015	2649.896	2654.921	3769	0	159
2025.01.07	13:15:00	2654.883	2661.053	2654.111	2660.480	4863	0	160
2025.01.07	13:30:00	2660.504	2662.071	2657.174	2661.077	3531	0	159
2025.01.07	13:45:00	2661.124	2664.264	2659.794	2662.548	3738	0	159
2025.01.07	14:00:00	2662.589	2662.964	2658.565	2658.605	3407	0	160
2025.01.07	14:15:00	2658.580	2660.774	2655.802	2660.358	2754	0	159
2025.01.07	14:30:00	2660.382	2663.004	2660.068	2661.479	3468	0	159
2025.01.07	14:45:00	2661.474	2661.799	2657.483	2658.486	3204	0	159
2025.01.07	15:00:00	2658.531	2658.531	2641.885	2648.502	8036	0	159
2025.01.07	15:15:00	2648.464	2653.614	2647.732	2651.270	5094	0	159
2025.01.07	15:30:00	2651.292	2652.105	2644.764	2647.423	5062	0	159
2025.01.07	15:45:00	2647.418	2651.080	2646.031	2647.700	4012	0	159
2025.01.07	16:00:00	2647.631	2650.101	2646.383	2648.477	3477	0	159
2025.01.07	16:15:00	2648.506	2653.814	2648.196	2650.639	3072	0	159
